year,fips,locality,source,type,rate
2011,51175,Southampton,ED,ED Heroin Overdose,0
2011,51177,Spotsylvania,ED,ED Heroin Overdose,0
2011,51179,Stafford,ED,ED Heroin Overdose,0
2011,51181,Surry,ED,ED Heroin Overdose,0
2011,51183,Sussex,ED,ED Heroin Overdose,0
2011,51185,Tazewell,ED,ED Heroin Overdose,0
2011,51187,Warren,ED,ED Heroin Overdose,0
2011,51191,Washington,ED,ED Heroin Overdose,0
2011,51193,Westmoreland,ED,ED Heroin Overdose,0
2011,51195,Wise,ED,ED Heroin Overdose,0
2011,51197,Wythe,ED,ED Heroin Overdose,0
2011,51199,York,ED,ED Heroin Overdose,0
2011,51510,Alexandria,ED,ED Heroin Overdose,0
2011,51520,Bristol,ED,ED Heroin Overdose,0
2011,51530,Buena Vista City,ED,ED Heroin Overdose,0
2011,51540,Charlottesville,ED,ED Heroin Overdose,0
2011,51550,Chesapeake,ED,ED Heroin Overdose,0
2011,51570,Colonial Heights,ED,ED Heroin Overdose,0
2011,51580,Covington,ED,ED Heroin Overdose,0
2011,51590,Danville,ED,ED Heroin Overdose,0
2011,51595,Emporia,ED,ED Heroin Overdose,0
2011,51600,Fairfax City,ED,ED Heroin Overdose,0
2011,51610,Falls Church,ED,ED Heroin Overdose,0
2011,51620,Franklin City,ED,ED Heroin Overdose,0
2011,51630,Fredericksburg,ED,ED Heroin Overdose,0
2011,51640,Galax,ED,ED Heroin Overdose,0
2011,51650,Hampton,ED,ED Heroin Overdose,0
2011,51660,Harrisonburg,ED,ED Heroin Overdose,0
2011,51670,Hopewell,ED,ED Heroin Overdose,0
2011,51678,Lexington,ED,ED Heroin Overdose,0
2011,51680,Lynchburg,ED,ED Heroin Overdose,0
2011,51683,Manassas City,ED,ED Heroin Overdose,0
2011,51685,Manassas Park,ED,ED Heroin Overdose,0
2011,51690,Martinsville,ED,ED Heroin Overdose,0
2011,51700,Newport News,ED,ED Heroin Overdose,0
2011,51710,Norfolk,ED,ED Heroin Overdose,0
2011,51720,Norton,ED,ED Heroin Overdose,0
2011,51730,Petersburg,ED,ED Heroin Overdose,0
2011,51735,Poquoson,ED,ED Heroin Overdose,0
2011,51740,Portsmouth,ED,ED Heroin Overdose,0
2011,51750,Radford,ED,ED Heroin Overdose,0
2011,51760,Richmond City,ED,ED Heroin Overdose,0
2011,51770,Roanoke City,ED,ED Heroin Overdose,0
2011,51775,Salem,ED,ED Heroin Overdose,0
2011,51790,Staunton,ED,ED Heroin Overdose,0
2011,51800,Suffolk,ED,ED Heroin Overdose,0
2011,51810,Virginia Beach,ED,ED Heroin Overdose,0
2011,51820,Waynesboro,ED,ED Heroin Overdose,0
2011,51830,Williamsburg,ED,ED Heroin Overdose,0
2011,51840,Winchester,ED,ED Heroin Overdose,0
2011,51001,Accomack,ED,ED Opioid Overdose,0
2011,51003,Albemarle,ED,ED Opioid Overdose,0
2011,51005,Alleghany,ED,ED Opioid Overdose,0
2011,51007,Amelia,ED,ED Opioid Overdose,0
2011,51009,Amherst,ED,ED Opioid Overdose,0
2011,51011,Appomattox,ED,ED Opioid Overdose,0
2011,51013,Arlington,ED,ED Opioid Overdose,0
2011,51015,Augusta,ED,ED Opioid Overdose,0
2011,51017,Bath,ED,ED Opioid Overdose,0
2011,51019,Bedford,ED,ED Opioid Overdose,0
2011,51021,Bland,ED,ED Opioid Overdose,0
2011,51023,Botetourt,ED,ED Opioid Overdose,0
2011,51025,Brunswick,ED,ED Opioid Overdose,0
2011,51027,Buchanan,ED,ED Opioid Overdose,0
2011,51029,Buckingham,ED,ED Opioid Overdose,0
2011,51031,Campbell,ED,ED Opioid Overdose,0
2011,51033,Caroline,ED,ED Opioid Overdose,0
2011,51035,Carroll,ED,ED Opioid Overdose,0
2011,51036,Charles City,ED,ED Opioid Overdose,0
2011,51037,Charlotte,ED,ED Opioid Overdose,0
2011,51041,Chesterfield,ED,ED Opioid Overdose,0
2011,51043,Clarke,ED,ED Opioid Overdose,0
2011,51045,Craig,ED,ED Opioid Overdose,0
2011,51047,Culpeper,ED,ED Opioid Overdose,0
2011,51049,Cumberland,ED,ED Opioid Overdose,0
2011,51051,Dickenson,ED,ED Opioid Overdose,0
2011,51053,Dinwiddie,ED,ED Opioid Overdose,0
2011,51057,Essex,ED,ED Opioid Overdose,0
2011,51059,Fairfax,ED,ED Opioid Overdose,0
2011,51061,Fauquier,ED,ED Opioid Overdose,0
2011,51063,Floyd,ED,ED Opioid Overdose,0
2011,51065,Fluvanna,ED,ED Opioid Overdose,0
2011,51067,Franklin County,ED,ED Opioid Overdose,0
2011,51069,Frederick,ED,ED Opioid Overdose,0
2011,51071,Giles,ED,ED Opioid Overdose,0
2011,51073,Gloucester,ED,ED Opioid Overdose,0
2011,51075,Goochland,ED,ED Opioid Overdose,0
2011,51077,Grayson,ED,ED Opioid Overdose,0
2011,51079,Greene,ED,ED Opioid Overdose,0
2011,51081,Greensville,ED,ED Opioid Overdose,0
2011,51083,Halifax,ED,ED Opioid Overdose,0
2011,51085,Hanover,ED,ED Opioid Overdose,0
2011,51087,Henrico,ED,ED Opioid Overdose,0
2011,51089,Henry,ED,ED Opioid Overdose,0
2011,51091,Highland,ED,ED Opioid Overdose,0
2011,51093,Isle of Wight,ED,ED Opioid Overdose,0
2011,51095,James City,ED,ED Opioid Overdose,0
2011,51097,King and Queen,ED,ED Opioid Overdose,0
2011,51099,King George,ED,ED Opioid Overdose,0
2011,51101,King William,ED,ED Opioid Overdose,0
2011,51103,Lancaster,ED,ED Opioid Overdose,0
2011,51105,Lee,ED,ED Opioid Overdose,0
2011,51107,Loudoun,ED,ED Opioid Overdose,0
2011,51109,Louisa,ED,ED Opioid Overdose,0
2011,51111,Lunenburg,ED,ED Opioid Overdose,0
2011,51113,Madison,ED,ED Opioid Overdose,0
2011,51115,Mathews,ED,ED Opioid Overdose,0
2011,51117,Mecklenburg,ED,ED Opioid Overdose,0
2011,51119,Middlesex,ED,ED Opioid Overdose,0
2011,51121,Montgomery,ED,ED Opioid Overdose,0
2011,51125,Nelson,ED,ED Opioid Overdose,0
2011,51127,New Kent,ED,ED Opioid Overdose,0
2011,51131,Northampton,ED,ED Opioid Overdose,0
2011,51133,Northumberland,ED,ED Opioid Overdose,0
2011,51135,Nottoway,ED,ED Opioid Overdose,0
2011,51137,Orange,ED,ED Opioid Overdose,0
2011,51139,Page,ED,ED Opioid Overdose,0
2011,51141,Patrick,ED,ED Opioid Overdose,0
2011,51143,Pittsylvania,ED,ED Opioid Overdose,0
2011,51145,Powhatan,ED,ED Opioid Overdose,0
2011,51147,Prince Edward,ED,ED Opioid Overdose,0
2011,51149,Prince George,ED,ED Opioid Overdose,0
2011,51153,Prince William,ED,ED Opioid Overdose,0
2011,51155,Pulaski,ED,ED Opioid Overdose,0
2011,51157,Rappahannock,ED,ED Opioid Overdose,0
2011,51159,Richmond County,ED,ED Opioid Overdose,0
2011,51161,Roanoke County,ED,ED Opioid Overdose,0
2011,51163,Rockbridge,ED,ED Opioid Overdose,0
2011,51165,Rockingham,ED,ED Opioid Overdose,0
2011,51167,Russell,ED,ED Opioid Overdose,0
2011,51169,Scott,ED,ED Opioid Overdose,0
2011,51171,Shenandoah,ED,ED Opioid Overdose,0
2011,51173,Smyth,ED,ED Opioid Overdose,0
2011,51175,Southampton,ED,ED Opioid Overdose,0
2011,51177,Spotsylvania,ED,ED Opioid Overdose,0
2011,51179,Stafford,ED,ED Opioid Overdose,0
2011,51181,Surry,ED,ED Opioid Overdose,0
2011,51183,Sussex,ED,ED Opioid Overdose,0
2011,51185,Tazewell,ED,ED Opioid Overdose,0
2011,51187,Warren,ED,ED Opioid Overdose,0
2011,51191,Washington,ED,ED Opioid Overdose,0
2011,51193,Westmoreland,ED,ED Opioid Overdose,0
2011,51195,Wise,ED,ED Opioid Overdose,0
2011,51197,Wythe,ED,ED Opioid Overdose,0
2011,51199,York,ED,ED Opioid Overdose,0
2011,51510,Alexandria,ED,ED Opioid Overdose,0
2011,51520,Bristol,ED,ED Opioid Overdose,0
2011,51530,Buena Vista City,ED,ED Opioid Overdose,0
2011,51540,Charlottesville,ED,ED Opioid Overdose,0
2011,51550,Chesapeake,ED,ED Opioid Overdose,0
2011,51570,Colonial Heights,ED,ED Opioid Overdose,0
2011,51580,Covington,ED,ED Opioid Overdose,0
2011,51590,Danville,ED,ED Opioid Overdose,0
2011,51595,Emporia,ED,ED Opioid Overdose,0
2011,51600,Fairfax City,ED,ED Opioid Overdose,0
2011,51610,Falls Church,ED,ED Opioid Overdose,0
2011,51620,Franklin City,ED,ED Opioid Overdose,0
2011,51630,Fredericksburg,ED,ED Opioid Overdose,0
2011,51640,Galax,ED,ED Opioid Overdose,0
2011,51650,Hampton,ED,ED Opioid Overdose,0
2011,51660,Harrisonburg,ED,ED Opioid Overdose,0
2011,51670,Hopewell,ED,ED Opioid Overdose,0
2011,51678,Lexington,ED,ED Opioid Overdose,0
2011,51680,Lynchburg,ED,ED Opioid Overdose,0
2011,51683,Manassas City,ED,ED Opioid Overdose,0
2011,51685,Manassas Park,ED,ED Opioid Overdose,0
2011,51690,Martinsville,ED,ED Opioid Overdose,0
2011,51700,Newport News,ED,ED Opioid Overdose,0
2011,51710,Norfolk,ED,ED Opioid Overdose,0
2011,51720,Norton,ED,ED Opioid Overdose,0
2011,51730,Petersburg,ED,ED Opioid Overdose,0
2011,51735,Poquoson,ED,ED Opioid Overdose,0
2011,51740,Portsmouth,ED,ED Opioid Overdose,0
2011,51750,Radford,ED,ED Opioid Overdose,0
2011,51760,Richmond City,ED,ED Opioid Overdose,0
2011,51770,Roanoke City,ED,ED Opioid Overdose,0
2011,51775,Salem,ED,ED Opioid Overdose,0
2011,51790,Staunton,ED,ED Opioid Overdose,0
2011,51800,Suffolk,ED,ED Opioid Overdose,0
2011,51810,Virginia Beach,ED,ED Opioid Overdose,0
2011,51820,Waynesboro,ED,ED Opioid Overdose,0
2011,51830,Williamsburg,ED,ED Opioid Overdose,0
2011,51840,Winchester,ED,ED Opioid Overdose,0
2011,51001,Accomack,EMS,EMS Narcan,6
2011,51003,Albemarle,EMS,EMS Narcan,6
2011,51005,Alleghany,EMS,EMS Narcan,30.9
2011,51007,Amelia,EMS,EMS Narcan,7.8
2011,51009,Amherst,EMS,EMS Narcan,0
2011,51011,Appomattox,EMS,EMS Narcan,0
2011,51013,Arlington,EMS,EMS Narcan,0
2011,51015,Augusta,EMS,EMS Narcan,1.4
2011,51017,Bath,EMS,EMS Narcan,0
2011,51019,Bedford,EMS,EMS Narcan,0
2011,51021,Bland,EMS,EMS Narcan,0
2011,51023,Botetourt,EMS,EMS Narcan,21.3
2011,51025,Brunswick,EMS,EMS Narcan,11.6
2011,51027,Buchanan,EMS,EMS Narcan,8.5
2011,51029,Buckingham,EMS,EMS Narcan,0
2011,51031,Campbell,EMS,EMS Narcan,0
2011,51033,Caroline,EMS,EMS Narcan,27.9
2011,51035,Carroll,EMS,EMS Narcan,20
2011,51036,Charles City,EMS,EMS Narcan,0
2011,51037,Charlotte,EMS,EMS Narcan,8
2011,51041,Chesterfield,EMS,EMS Narcan,11.9
2011,51043,Clarke,EMS,EMS Narcan,21
2011,51045,Craig,EMS,EMS Narcan,19.6
2011,51047,Culpeper,EMS,EMS Narcan,21.1
2011,51049,Cumberland,EMS,EMS Narcan,0
2011,51051,Dickenson,EMS,EMS Narcan,76.2
2011,51053,Dinwiddie,EMS,EMS Narcan,7.2
2011,51057,Essex,EMS,EMS Narcan,8.9
2011,51059,Fairfax,EMS,EMS Narcan,0
2011,51061,Fauquier,EMS,EMS Narcan,24.2
2011,51063,Floyd,EMS,EMS Narcan,6.5
2011,51065,Fluvanna,EMS,EMS Narcan,19.2
2011,51067,Franklin County,EMS,EMS Narcan,14.2
2011,51069,Frederick,EMS,EMS Narcan,18.8
2011,51071,Giles,EMS,EMS Narcan,0
2011,51073,Gloucester,EMS,EMS Narcan,21.7
2011,51075,Goochland,EMS,EMS Narcan,32
2011,51077,Grayson,EMS,EMS Narcan,39.1
2011,51079,Greene,EMS,EMS Narcan,0
2011,51081,Greensville,EMS,EMS Narcan,0
2011,51083,Halifax,EMS,EMS Narcan,22.2
2011,51085,Hanover,EMS,EMS Narcan,22.9
2011,51087,Henrico,EMS,EMS Narcan,19.3
2011,51089,Henry,EMS,EMS Narcan,26.1
2011,51091,Highland,EMS,EMS Narcan,88.2
2011,51093,Isle of Wight,EMS,EMS Narcan,17
2011,51095,James City,EMS,EMS Narcan,17.6
2011,51097,King and Queen,EMS,EMS Narcan,28.6
2011,51099,King George,EMS,EMS Narcan,4.1
2011,51101,King William,EMS,EMS Narcan,18.8
2011,51103,Lancaster,EMS,EMS Narcan,0
2011,51105,Lee,EMS,EMS Narcan,0
2011,51107,Loudoun,EMS,EMS Narcan,4.6
2011,51109,Louisa,EMS,EMS Narcan,32.9
2011,51111,Lunenburg,EMS,EMS Narcan,7.8
2011,51113,Madison,EMS,EMS Narcan,0
2011,51115,Mathews,EMS,EMS Narcan,44.6
2011,51117,Mecklenburg,EMS,EMS Narcan,9.2
2011,51119,Middlesex,EMS,EMS Narcan,55.3
2011,51121,Montgomery,EMS,EMS Narcan,5.3
2011,51125,Nelson,EMS,EMS Narcan,26.5
2011,51127,New Kent,EMS,EMS Narcan,0
2011,51131,Northampton,EMS,EMS Narcan,0
2011,51133,Northumberland,EMS,EMS Narcan,16.1
2011,51135,Nottoway,EMS,EMS Narcan,6.3
2011,51137,Orange,EMS,EMS Narcan,2.9
2011,51139,Page,EMS,EMS Narcan,25
2011,51141,Patrick,EMS,EMS Narcan,32.6
2011,51143,Pittsylvania,EMS,EMS Narcan,8
2011,51145,Powhatan,EMS,EMS Narcan,17.8
2011,51147,Prince Edward,EMS,EMS Narcan,42.8
2011,51149,Prince George,EMS,EMS Narcan,10.9
2011,51153,Prince William,EMS,EMS Narcan,11
2011,51155,Pulaski,EMS,EMS Narcan,0
2011,51157,Rappahannock,EMS,EMS Narcan,107.5
2011,51159,Richmond County,EMS,EMS Narcan,54.2
2011,51161,Roanoke County,EMS,EMS Narcan,12.9
2011,51163,Rockbridge,EMS,EMS Narcan,4.5
2011,51165,Rockingham,EMS,EMS Narcan,10.4
2011,51167,Russell,EMS,EMS Narcan,45.2
2011,51169,Scott,EMS,EMS Narcan,38.9
2011,51171,Shenandoah,EMS,EMS Narcan,14.2
2011,51173,Smyth,EMS,EMS Narcan,21.9
2011,51175,Southampton,EMS,EMS Narcan,21.7
2011,51177,Spotsylvania,EMS,EMS Narcan,17.7
2011,51179,Stafford,EMS,EMS Narcan,18.9
2011,51181,Surry,EMS,EMS Narcan,14.4
2011,51183,Sussex,EMS,EMS Narcan,41.4
2011,51185,Tazewell,EMS,EMS Narcan,40.3
2011,51187,Warren,EMS,EMS Narcan,7.9
2011,51191,Washington,EMS,EMS Narcan,3.6
2011,51193,Westmoreland,EMS,EMS Narcan,5.7
2011,51195,Wise,EMS,EMS Narcan,14.4
2011,51197,Wythe,EMS,EMS Narcan,13.7
2011,51199,York,EMS,EMS Narcan,0
2011,51510,Alexandria,EMS,EMS Narcan,0
2011,51520,Bristol,EMS,EMS Narcan,45.1
2011,51530,Buena Vista City,EMS,EMS Narcan,0
2011,51540,Charlottesville,EMS,EMS Narcan,2.3
2011,51550,Chesapeake,EMS,EMS Narcan,12.4
2011,51570,Colonial Heights,EMS,EMS Narcan,5.7
2011,51580,Covington,EMS,EMS Narcan,33.7
2011,51590,Danville,EMS,EMS Narcan,28
2011,51595,Emporia,EMS,EMS Narcan,0
2011,51600,Fairfax City,EMS,EMS Narcan,17.7
2011,51610,Falls Church,EMS,EMS Narcan,0
2011,51620,Franklin City,EMS,EMS Narcan,34.9
2011,51630,Fredericksburg,EMS,EMS Narcan,11.7
2011,51640,Galax,EMS,EMS Narcan,114.6
2011,51650,Hampton,EMS,EMS Narcan,0
2011,51660,Harrisonburg,EMS,EMS Narcan,4
2011,51670,Hopewell,EMS,EMS Narcan,31
2011,51678,Lexington,EMS,EMS Narcan,42.9
2011,51680,Lynchburg,EMS,EMS Narcan,0
2011,51683,Manassas City,EMS,EMS Narcan,17.8
2011,51685,Manassas Park,EMS,EMS Narcan,26.1
2011,51690,Martinsville,EMS,EMS Narcan,66.4
2011,51700,Newport News,EMS,EMS Narcan,3.9
2011,51710,Norfolk,EMS,EMS Narcan,0
2011,51720,Norton,EMS,EMS Narcan,24.7
2011,51730,Petersburg,EMS,EMS Narcan,24.7
2011,51735,Poquoson,EMS,EMS Narcan,41.7
2011,51740,Portsmouth,EMS,EMS Narcan,0
2011,51750,Radford,EMS,EMS Narcan,0
2011,51760,Richmond City,EMS,EMS Narcan,0.5
2011,51770,Roanoke City,EMS,EMS Narcan,27.9
2011,51775,Salem,EMS,EMS Narcan,36.1
2011,51790,Staunton,EMS,EMS Narcan,29.5
2011,51800,Suffolk,EMS,EMS Narcan,0
2011,51810,Virginia Beach,EMS,EMS Narcan,9.7
2011,51820,Waynesboro,EMS,EMS Narcan,28.2
2011,51830,Williamsburg,EMS,EMS Narcan,13.8
2011,51840,Winchester,EMS,EMS Narcan,79
2011,51001,Accomack,HCV,Reported Hepatitis C (18-30 year olds),21.2
2011,51003,Albemarle,HCV,Reported Hepatitis C (18-30 year olds),9.7
2011,51005,Alleghany,HCV,Reported Hepatitis C (18-30 year olds),52.2
2011,51007,Amelia,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51009,Amherst,HCV,Reported Hepatitis C (18-30 year olds),19.1
2011,51011,Appomattox,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51013,Arlington,HCV,Reported Hepatitis C (18-30 year olds),11.7
2011,51015,Augusta,HCV,Reported Hepatitis C (18-30 year olds),58.3
2011,51017,Bath,HCV,Reported Hepatitis C (18-30 year olds),371.1
2011,51019,Bedford,HCV,Reported Hepatitis C (18-30 year olds),21.7
2011,51021,Bland,HCV,Reported Hepatitis C (18-30 year olds),447.4
2011,51023,Botetourt,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51025,Brunswick,HCV,Reported Hepatitis C (18-30 year olds),605.3
2011,51027,Buchanan,HCV,Reported Hepatitis C (18-30 year olds),684.5
2011,51029,Buckingham,HCV,Reported Hepatitis C (18-30 year olds),105.3
2011,51031,Campbell,HCV,Reported Hepatitis C (18-30 year olds),22.2
2011,51033,Caroline,HCV,Reported Hepatitis C (18-30 year olds),89.4
2011,51035,Carroll,HCV,Reported Hepatitis C (18-30 year olds),133
2011,51036,Charles City,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51037,Charlotte,HCV,Reported Hepatitis C (18-30 year olds),174.3
2011,51041,Chesterfield,HCV,Reported Hepatitis C (18-30 year olds),70.1
2011,51043,Clarke,HCV,Reported Hepatitis C (18-30 year olds),59.9
2011,51045,Craig,HCV,Reported Hepatitis C (18-30 year olds),160.5
2011,51047,Culpeper,HCV,Reported Hepatitis C (18-30 year olds),13.8
2011,51049,Cumberland,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51051,Dickenson,HCV,Reported Hepatitis C (18-30 year olds),842.6
2011,51053,Dinwiddie,HCV,Reported Hepatitis C (18-30 year olds),45.8
2011,51057,Essex,HCV,Reported Hepatitis C (18-30 year olds),60.1
2011,51059,Fairfax,HCV,Reported Hepatitis C (18-30 year olds),21.5
2011,51061,Fauquier,HCV,Reported Hepatitis C (18-30 year olds),80
2011,51063,Floyd,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51065,Fluvanna,HCV,Reported Hepatitis C (18-30 year olds),556
2011,51067,Franklin County,HCV,Reported Hepatitis C (18-30 year olds),85.6
2011,51069,Frederick,HCV,Reported Hepatitis C (18-30 year olds),175.1
2011,51071,Giles,HCV,Reported Hepatitis C (18-30 year olds),351
2011,51073,Gloucester,HCV,Reported Hepatitis C (18-30 year olds),18.6
2011,51075,Goochland,HCV,Reported Hepatitis C (18-30 year olds),254.5
2011,51077,Grayson,HCV,Reported Hepatitis C (18-30 year olds),317.3
2011,51079,Greene,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51081,Greensville,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51083,Halifax,HCV,Reported Hepatitis C (18-30 year olds),107.3
2011,51085,Hanover,HCV,Reported Hepatitis C (18-30 year olds),103.2
2011,51087,Henrico,HCV,Reported Hepatitis C (18-30 year olds),38
2011,51089,Henry,HCV,Reported Hepatitis C (18-30 year olds),42.3
2011,51091,Highland,HCV,Reported Hepatitis C (18-30 year olds),454.5
2011,51093,Isle of Wight,HCV,Reported Hepatitis C (18-30 year olds),88.8
2011,51095,James City,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51097,King and Queen,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51099,King George,HCV,Reported Hepatitis C (18-30 year olds),26.7
2011,51101,King William,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51103,Lancaster,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51105,Lee,HCV,Reported Hepatitis C (18-30 year olds),473.1
2011,51107,Loudoun,HCV,Reported Hepatitis C (18-30 year olds),16.2
2011,51109,Louisa,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51111,Lunenburg,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51113,Madison,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51115,Mathews,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51117,Mecklenburg,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51119,Middlesex,HCV,Reported Hepatitis C (18-30 year olds),76
2011,51121,Montgomery,HCV,Reported Hepatitis C (18-30 year olds),33.3
2011,51125,Nelson,HCV,Reported Hepatitis C (18-30 year olds),111
2011,51127,New Kent,HCV,Reported Hepatitis C (18-30 year olds),248.6
2011,51131,Northampton,HCV,Reported Hepatitis C (18-30 year olds),58.9
2011,51133,Northumberland,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51135,Nottoway,HCV,Reported Hepatitis C (18-30 year olds),300.6
2011,51137,Orange,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51139,Page,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51141,Patrick,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51143,Pittsylvania,HCV,Reported Hepatitis C (18-30 year olds),36.5
2011,51145,Powhatan,HCV,Reported Hepatitis C (18-30 year olds),505.7
2011,51147,Prince Edward,HCV,Reported Hepatitis C (18-30 year olds),0
2011,51149,Prince George,HCV,Reported Hepatitis C (18-30 year olds),30.7
2011,51153,Prince William,HCV,Reported Hepatitis C (18-30 year olds),22
2011,51155,Pulaski,HCV,Reported Hepatitis C (18-30 year olds),172.5
2011,51157,Rappahannock,HCV,Reported Hepatitis C (18-30 year olds),114.2
2011,51159,Richmond County,HCV,Reported Hepatitis C (18-30 year olds),70.1
2011,51161,Roanoke County,HCV,Reported Hepatitis C (18-30 year olds),144
2011,51163,Rockbridge,HCV,Reported Hepatitis C (18-30 year olds),65.6
2011,51165,Rockingham,HCV,Reported Hepatitis C (18-30 year olds),127.1
2011,51167,Russell,HCV,Reported Hepatitis C (18-30 year olds),686.8
2011,51169,Scott,HCV,Reported Hepatitis C (18-30 year olds),518.5
